Trace1,Trace2,Judge,Time1,Time2,Time3
T4_samples2.csv,T8_samples4.csv,4,26243,1938,28181
T4_samples2.csv,T9_samples4.csv,2,20208,1005,21213
T4_samples2.csv,T2_samples3.csv,3,12371,1903,14274
T4_samples2.csv,T2_samples1.csv,4,14756,926,15682
T4_samples2.csv,T2_samples4.csv,5,11008,898,11906
T4_samples2.csv,T8_samples1.csv,5,9192,878,10070
T4_samples2.csv,T8_samples7.csv,4,8062,966,9028
T4_samples2.csv,T8_samples5.csv,5,15520,1003,16523
T8_samples4.csv,T4_samples7.csv,4,36088,1871,37959
T8_samples4.csv,T4_samples5.csv,4,10222,1732,11954
T8_samples4.csv,T4_samples6.csv,3,15474,844,16318
T8_samples4.csv,T1_samples1.csv,4,11578,903,12481
T8_samples4.csv,T4_samples2.csv,3,11482,1128,12610
T8_samples6.csv,T4_samples7.csv,4,15803,1147,16950
T8_samples6.csv,T2_samples2.csv,3,15092,987,16079
T8_samples6.csv,T4_samples3.csv,4,8628,1643,10271
T8_samples6.csv,T4_samples1.csv,4,10035,907,10942
T8_samples6.csv,T9_samples1.csv,3,15420,953,16373
T9_samples4.csv,T4_samples7.csv,4,23399,880,24279
T9_samples4.csv,T2_samples2.csv,4,7701,1051,8752
T9_samples4.csv,T1_samples4.csv,5,9488,905,10393
T9_samples4.csv,T2_samples5.csv,2,12089,1745,13834
T9_samples4.csv,T8_samples2.csv,4,14792,970,15762
T9_samples4.csv,T4_samples3.csv,4,19179,2023,21202
T9_samples4.csv,T4_samples1.csv,4,10995,3744,14739
T9_samples4.csv,T2_samples3.csv,3,9900,1305,11205
T9_samples4.csv,T1_samples1.csv,4,7393,1691,9084
T9_samples4.csv,T2_samples1.csv,4,7591,1075,8666
T9_samples4.csv,T1_samples3.csv,4,9689,4206,13895
T9_samples4.csv,T2_samples4.csv,3,7519,941,8460
T9_samples4.csv,T8_samples1.csv,5,7815,886,8701
T9_samples4.csv,T4_samples2.csv,4,11739,1778,13517
T9_samples4.csv,T8_samples5.csv,5,8945,845,9790
T4_samples5.csv,T8_samples2.csv,5,23571,1161,24732
T4_samples5.csv,T8_samples4.csv,5,8980,2671,11651
T4_samples5.csv,T8_samples3.csv,5,8007,1135,9142
T9_samples2.csv,T4_samples7.csv,5,16154,1848,18002
T9_samples2.csv,T2_samples2.csv,4,11340,1065,12405
T9_samples2.csv,T2_samples5.csv,4,7943,2097,10040
T9_samples2.csv,T2_samples3.csv,3,12622,1257,13879
T9_samples2.csv,T1_samples1.csv,4,9044,961,10005
T9_samples2.csv,T2_samples1.csv,4,9688,1007,10695
T9_samples2.csv,T1_samples3.csv,3,7731,4857,12588
T9_samples2.csv,T2_samples4.csv,4,10785,1265,12050
T9_samples2.csv,T8_samples1.csv,4,8755,906,9661
T2_samples5.csv,T4_samples7.csv,4,10498,3970,14468
T2_samples5.csv,T9_samples2.csv,5,20608,961,21569
T2_samples5.csv,T8_samples2.csv,3,12348,913,13261
T2_samples5.csv,T1_samples5.csv,4,11586,934,12520
T2_samples5.csv,T9_samples4.csv,5,14344,854,15198
T2_samples5.csv,T8_samples1.csv,3,19720,1679,21399
T2_samples5.csv,T9_samples3.csv,5,11037,844,11881
T2_samples5.csv,T4_samples2.csv,5,14664,1790,16454
T2_samples5.csv,T9_samples1.csv,5,14017,2016,16033
T2_samples4.csv,T4_samples7.csv,4,20681,2525,23206
T2_samples4.csv,T9_samples2.csv,4,11295,6644,17939
T2_samples4.csv,T8_samples2.csv,4,10806,855,11661
T2_samples4.csv,T4_samples1.csv,4,18556,932,19488
T2_samples4.csv,T9_samples4.csv,4,18138,1220,19358
T2_samples4.csv,T4_samples2.csv,4,15359,957,16316
T2_samples4.csv,T9_samples1.csv,4,11198,909,12107
T2_samples4.csv,T8_samples5.csv,3,14479,1063,15542
T9_samples3.csv,T4_samples7.csv,4,16495,8644,25139
T9_samples3.csv,T2_samples2.csv,3,39980,1020,41000
T9_samples3.csv,T2_samples5.csv,4,21587,1335,22922
T9_samples3.csv,T2_samples3.csv,3,12958,929,13887
T9_samples3.csv,T4_samples6.csv,4,19524,1606,21130
T9_samples3.csv,T2_samples1.csv,4,10455,1475,11930
T9_samples3.csv,T8_samples1.csv,3,12444,1009,13453
T8_samples2.csv,T4_samples7.csv,4,20637,1337,21974
T8_samples2.csv,T2_samples5.csv,2,19254,1120,20374
T8_samples2.csv,T4_samples5.csv,5,12796,1357,14153
T8_samples2.csv,T4_samples6.csv,5,6896,1622,8518
T8_samples2.csv,T9_samples4.csv,3,21007,1759,22766
T8_samples2.csv,T2_samples4.csv,2,10179,1575,11754
T8_samples2.csv,T4_samples2.csv,4,19697,952,20649
T8_samples2.csv,T9_samples1.csv,2,11179,1164,12343
T1_samples4.csv,T9_samples4.csv,3,53503,2232,55735
T1_samples4.csv,T2_samples3.csv,3,12261,2726,14987
T1_samples4.csv,T4_samples4.csv,4,22701,911,23612
T2_samples2.csv,T4_samples7.csv,4,17922,7687,25609
T2_samples2.csv,T9_samples2.csv,4,98366,2377,100743
T2_samples2.csv,T8_samples6.csv,4,23578,1160,24738
T2_samples2.csv,T4_samples1.csv,3,54812,2592,57404
T2_samples2.csv,T4_samples6.csv,4,15457,953,16410
T2_samples2.csv,T9_samples4.csv,5,9269,984,10253
T2_samples2.csv,T1_samples3.csv,3,22698,1469,24167
T2_samples2.csv,T8_samples1.csv,5,8796,906,9702
T2_samples2.csv,T8_samples7.csv,2,12310,1468,13778
T2_samples2.csv,T9_samples3.csv,4,7961,818,8779
T2_samples2.csv,T4_samples2.csv,4,17672,1220,18892
T2_samples2.csv,T9_samples1.csv,4,19484,4417,23901
T1_samples1.csv,T4_samples7.csv,4,30470,1196,31666
T1_samples1.csv,T9_samples2.csv,3,14195,5389,19584
T1_samples1.csv,T8_samples4.csv,5,10559,976,11535
T1_samples1.csv,T9_samples4.csv,4,44882,1082,45964
T1_samples1.csv,T8_samples3.csv,5,9544,1172,10716
T1_samples4.csv,T9_samples4.csv,3,31499,847,32346
T1_samples4.csv,T2_samples3.csv,3,16898,1484,18382
T1_samples4.csv,T4_samples4.csv,5,16007,1630,17637
T8_samples6.csv,T4_samples7.csv,4,12811,959,13770
T8_samples6.csv,T2_samples2.csv,3,70273,1818,72091
T8_samples6.csv,T4_samples3.csv,4,17324,1291,18615
T2_samples4.csv,T4_samples7.csv,4,18784,982,19766
T2_samples4.csv,T9_samples2.csv,4,44335,4541,48876
